"","Date","Precipitation"
"370",2020-10-01,0.02
"371",2020-11-01,0.25
"372",2020-12-01,0.46
"373",2021-01-01,1.38
"374",2021-02-01,0.03
"375",2021-03-01,0.4
"376",2021-04-01,0.07
"377",2021-05-01,0
"378",2021-06-01,0.08
"379",2021-07-01,5.27
"380",2021-08-01,2.49
"381",2021-09-01,1.71
"382",2021-10-01,0.26
"383",2021-11-01,0.02
"384",2021-12-01,1.92
"385",2022-01-01,0.64
"386",2022-02-01,0.47
"387",2022-03-01,0.41
"388",2022-04-01,0
"389",2022-05-01,0
"390",2022-06-01,0.65
"391",2022-07-01,1.35
"392",2022-08-01,3.29
"393",2022-09-01,1.12
"394",2022-10-01,0.92
"395",2022-11-01,0.25
"396",2022-12-01,2.86
"397",2023-01-01,1.95
"398",2023-02-01,1.35
"399",2023-03-01,1.15
"400",2023-04-01,0
"401",2023-05-01,0.28
"402",2023-06-01,0
"403",2023-07-01,0.42
"404",2023-08-01,1.12
"405",2023-09-01,0.94
"406",2023-10-01,0.08
"407",2023-11-01,0.68
"408",2023-12-01,1.66
"409",2024-01-01,1.65
"410",2024-02-01,2.31
"411",2024-03-01,1.55
